Date,zone,centre,Price
05-05-93,4,THIRUVANANTHAPURAM,65
05-05-93,4,ERNAKULAM,69.5
05-05-93,4,CHENNAI,103
05-05-93,4,MADURAI,95
05-05-93,4,PONDICHERRY,95
12-05-93,1,HISAR,80
12-05-93,1,KARNAL,60
12-05-93,1,SHIMLA,76
12-05-93,1,MANDI,76
12-05-93,1,SRINAGAR,NA
12-05-93,1,JAMMU,NA
12-05-93,1,AMRITSAR,72
12-05-93,1,LUDHIANA,75
12-05-93,1,LUCKNOW,60
12-05-93,1,KANPUR,64
12-05-93,1,CHANDIGARH,65
12-05-93,1,DELHI,60
12-05-93,2,AHMEDABAD,80
12-05-93,2,RAJKOT,80
12-05-93,2,PANAJI,70
12-05-93,2,BHOPAL,50
12-05-93,2,INDORE,80
12-05-93,2,MUMBAI,74
12-05-93,2,NAGPUR,70
12-05-93,2,JAIPUR,72
12-05-93,2,JODHPUR,70
12-05-93,3,GUWAHATI,NA
12-05-93,3,PATNA,50
12-05-93,3,SHILLONG,NA
12-05-93,3,AIZAWL,NA
12-05-93,3,BHUBANESHWAR,70
12-05-93,3,CUTTACK,70
12-05-93,3,KOLKATA,60
12-05-93,3,AGARTALA,NA
12-05-93,4,HYDERABAD,52
12-05-93,4,VIJAYAWADA,40
12-05-93,4,BANGALORE,NA
12-05-93,4,THIRUVANANTHAPURAM,69.5
12-05-93,4,ERNAKULAM,69.5
12-05-93,4,CHENNAI,103
12-05-93,4,MADURAI,100
12-05-93,4,PONDICHERRY,NA
19-05-93,1,HISAR,80
19-05-93,1,KARNAL,60
19-05-93,1,SHIMLA,76
19-05-93,1,MANDI,76
19-05-93,1,SRINAGAR,NA
19-05-93,1,JAMMU,68
19-05-93,1,AMRITSAR,72
19-05-93,1,LUDHIANA,72
19-05-93,1,LUCKNOW,60
19-05-93,1,KANPUR,65
19-05-93,1,CHANDIGARH,NA
19-05-93,1,DELHI,60
19-05-93,2,AHMEDABAD,NA
19-05-93,2,RAJKOT,78
19-05-93,2,PANAJI,NA
19-05-93,2,BHOPAL,50
19-05-93,2,INDORE,80
19-05-93,2,MUMBAI,74
19-05-93,2,NAGPUR,70
19-05-93,2,JAIPUR,74
19-05-93,2,JODHPUR,72
19-05-93,3,GUWAHATI,45
19-05-93,3,PATNA,NA
19-05-93,3,SHILLONG,NA
19-05-93,3,AIZAWL,80
19-05-93,3,BHUBANESHWAR,70
19-05-93,3,CUTTACK,70
19-05-93,3,KOLKATA,60
19-05-93,3,AGARTALA,NA
19-05-93,4,HYDERABAD,48
19-05-93,4,VIJAYAWADA,40
19-05-93,4,BANGALORE,68
19-05-93,4,THIRUVANANTHAPURAM,NA
19-05-93,4,ERNAKULAM,NA
19-05-93,4,CHENNAI,103
19-05-93,4,MADURAI,100
19-05-93,4,PONDICHERRY,NA
26-05-93,1,HISAR,8
26-05-93,1,KARNAL,60
26-05-93,1,SHIMLA,76
26-05-93,1,MANDI,76
26-05-93,1,SRINAGAR,NA
26-05-93,1,JAMMU,68
26-05-93,1,AMRITSAR,NA
26-05-93,1,LUDHIANA,NA
26-05-93,1,LUCKNOW,60
26-05-93,1,KANPUR,65
26-05-93,1,CHANDIGARH,NA
26-05-93,1,DELHI,60
26-05-93,2,AHMEDABAD,80
26-05-93,2,RAJKOT,78
26-05-93,2,PANAJI,70
26-05-93,2,BHOPAL,50
26-05-93,2,INDORE,80
26-05-93,2,MUMBAI,74
26-05-93,2,NAGPUR,70
26-05-93,2,JAIPUR,68
26-05-93,2,JODHPUR,72
26-05-93,3,GUWAHATI,45
26-05-93,3,PATNA,NA
26-05-93,3,SHILLONG,NA
26-05-93,3,AIZAWL,NA
26-05-93,3,BHUBANESHWAR,70
26-05-93,3,CUTTACK,70
26-05-93,3,KOLKATA,60
26-05-93,3,AGARTALA,NA
26-05-93,4,HYDERABAD,48
26-05-93,4,VIJAYAWADA,40
26-05-93,4,BANGALORE,NA
26-05-93,4,THIRUVANANTHAPURAM,NA
26-05-93,4,ERNAKULAM,NA
26-05-93,4,CHENNAI,103
26-05-93,4,MADURAI,100
26-05-93,4,PONDICHERRY,95
02-06-93,1,HISAR,80
02-06-93,1,KARNAL,60
02-06-93,1,SHIMLA,76
02-06-93,1,MANDI,85
02-06-93,1,SRINAGAR,NA
02-06-93,1,JAMMU,NA
02-06-93,1,AMRITSAR,68
02-06-93,1,LUDHIANA,72
02-06-93,1,LUCKNOW,NA
